name,ans
  ◎宣德,1
  ◎昕琦,1
  百德,0
 22.康普,0
 29.芮特,0
 3.,0
 3176 基亞,0
 7.旺宏,0
 8.弘塑,0
 Alex Karpenko ,0
 Birkhoff Lee ,0
 Bluecode ,0
 Caroline Bain ,0
 Chris Cunningham ,0
 Christina Tong ,1
 Christopher Balding ,0
 Edmunds ,1
 Ewen Stevenson ,1
 Ibrahim Balic ,1
 J 卡,0
 James N. Stewart ,0
 Jeanne Shaheen,1
 Jeong Ho-young,1
 John Flint ,1
 Jonathan Leitschuh ,0
 Joseph D. Kernan,0
 Kolas Yotaka ,0
 Le Dang Dung ,0
 Mark Meadows ,0
 Mark Tucker ,0
 Mekong,1
 Michael Kennedy,0
 Mohsen Rezai ,1
 Paul Yong ,1
 Phil Flynn ,0
 RE100,0
 Rui Oliveira ,0
 Shukor Yusof ,1
 Sri Kodriawati ,0
 Tom Coates ,0
 Wi Seong-gon ,1
 嘉晶,1
 川普,0
 旺角,0
 潘威佑,1
 由田,0
 盧比歐,0
 羅秋英,1
 華,0
 蘭桂坊,1
 馬雲,0
108年度,0
11.柏文,0
24.科妍,0
Adam Schiff,1
Alan Schwartz,1
Alan Turing,1
Angelababy,0
Arnoud de Meyer,1
Arran,1
Ashford＆Simpson,0
Bella,0
Ben,0
Ben Cheng,1
Ben站,0
Billionaire,1
Bitmark,0
Blitzchung,0
C.A.P,0
CNBLUE,1
Celeste Gravenmier,1
Chivas,1
Chris Smith,0
Chuck Schumer）,0
David Solomon,1
Dion Weisler,1
Dionne Warwick,1
Duchess of Sussex,0
Edward Barbini,0
Emmy,0
Enrique Lores,1
Factset ,0
Garynil ,1
Grover Robinson,0
Han Sang-beom,1
Harold Currie,0
Hunter Biden,0
Hyuk Lee,1
Ibrahim Balic ,1
Iezzi ,0
Irene Kim,1
Ivan,1
JDI,0
Jacob,0
James,0
James Mac Taggart,0
James Olsen,0
James Simons,0
Jeong Ho-young,1
Jerome Powell,0
Jim Richberg,1
Joe Biden,0
Joe Ousalice,0
John Bolton,1
John Pearson,0
John Slosar,0
J卡,0
KY,0
KY… ,0
Keanna,1
Kiwi,1
Klaus Iohannis,0
Kurt Volker,0
Lamigo,0
Larry Kudlow,0
Lee Seung Jin ,1
Leon,0
Lydia,1
Macro Rubio,0
Marco Rubio,0
Mario Draghi,0
Martin,0
Meghan Markle,1
Mitch McConnell,0
Mitchell,1
Mohammed al,1
Mohammed bin Salman,1
Mousavi ,0
Mowd,0
Ms. Shawnna M. Hoffman,0
Nancy Pelosi,1
Nathaniel Gleicher,1
Nickolay Mladenov,1
Niel,0
Patrick Healy,0
Peter Dutton,1
Peter Williamson,1
PewDiePie,0
PewDiePie ,0
Philip Quade,0
Prince Harry,1
PwC Taiwan,0
Randy Drwinga,1
Raymond Greene,1
Rob Gray,0
Ross,0
Rouhani ,1
Rupert Hogg,1
Simon Schuster,0
Spotify ,0
Sri,0
Sri ,0
Steven Mnuchin,1
Sulilat,0
Sung Yun-mo,1
TEEN TOP,1
Tania Krämer,1
Thomas Markle,0
Tilda Swinton,1
Tim Shields,0
Trammell Hudson,1
Vincent Bourdarie,0
Y座,0
facebook,0
foodpanda,1
littlesocks ,1
  方儉,0
 Joseph Simons ,0
。川普,0
一芳,0
三谷,0
中閔,0
主莉婭,0
九巴,0
于,0
于曉燕,1
于曉艷,1
亞獅康,0
亞當．史密斯,0
亞里斯多德,0
亨特,0
仁光,1
付國豪,1
任,0
伊歐漢尼斯,0
伊莉莎白二世,1
伊麗莎白,0
伯力斯,0
伽坦．賽加爾,0
何,0
何俊仁,1
何俊偉,1
何君堯,1
何君柱,1
何啟聖,1
何培才,1
何宗原,1
何庭歡,1
何怜儀,1
何明諠,1
何景榮,1
何杲,0
何杲 ,0
何栢耀,1
何淑琳,1
何淑芬,1
何炳慶,1
何男,0
何韻詩,1
何香凝,1
余,0
余俊亮,1
余女,0
佩佩,0
佩洛西,0
侯佩岑,1
侯倬倫,1
侯友宜,1
侯君鍵,1
侯孝賢,1
侯彩琳,1
俊,0
俞官興,1
俞小凡,1
俞惟中,1
俠客島,0
信紘科,0
倪寶珠,1
傅君玉,1
傅崐萁,1
傅文芳,1
傑史塔克森,0
優盛,1
光群雷,1
克拉博,0
克萊默,0
內塔尼亞胡,0
凌嘉科,1
凌嘉科假,1
判廖,0
判魯,0
前澤友,0
剛力彩芽,0
劉,0
劉吉雄,1
劉國泰,1
劉大文,1
劉奕成,1
劉威甫,1
劉宣辰,1
劉宥彤,1
劉家丞,1
劉建國,1
劉強東,1
劉心暉,1
劉志堅,1
劉思泰,1
劉慶侯,1
劉揚偉,1
劉文文,1
劉昊然,1
劉昌松,1
劉明郎,1
劉純佑,1
劉耀銓,1
劉若英,1
劉華中,1
劉蓮英,1
劉鶴,1
力麒,0
勞敏儀,1
北高行,0
匿名,0
十河宏輔,0
十銓,0
千金綦,0
卓家,0
卓榮泰,1
南帝,0
卡尼,0
卡特派,0
卡瓦納,0
卡瓦納（James Kavanaugh,0
原友達,0
友秀,0
古俊軒,1
古叡,0
古荺古叡,0
古金水,0
台虎,0
台郡,0
史密斯,0
史曉斌,1
史樂山,1
司群,0
吉姆,0
吉姆・里奇堡,0
吉娜史汀柏,0
同欣電,0
君鴻,0
吳,0
吳乙南,0
吳佩衡,1
吳俊賢,1
吳凱琳,1
吳吞,0
吳子嘉,1
吳存金,0
吳寶春,1
吳尚哲,1
吳建豪,1
吳志超,1
吳政峰,1
吳晉安,1
吳東明,1
吳榮達,1
吳永,1
吳永強,1
吳淑珍,1
吳為,0
吳瓊枝,1
吳男,0
吳男明,1
吳美葉,1
吳董,0
吳運豐,1
吳銘,1
呂,0
呂丹嵐,1
呂太郎,0
呂宗南,1
呂家緯,1
呂波,1
呂翠峰,1
呂雅純,1
周,0
周三特,0
周剛,0
周四 ,0
周恩來,1
周摩台,0
周文森,1
周梓樂,1
周榮華,1
周正華,1
周湯豪,1
周男,0
周盈文,1
周迅,1
周錫瑋,1
哈利,0
哈德森,0
唐,0
唐從聖,1
唐綺陽,1
唐遠生,1
商台,0
喬山,0
喬治歐威爾,0
嚴枝同,1
因林,0
國光生,1
國芬蘭,1
坑富,0
埴渕修世,0
塞西,0
夏婉君,1
大家琴,0
大田,0
大章,0
大衛,0
大衛．索羅門,0
奎德,0
姆拉德諾夫,0
姆欽,0
姚介修,1
姚岳宏,1
姚慶佳,1
姚慶佳男,1
姚振祥,1
姚政岳,1
姚連地,0
姚騰貿,1
姜同會,1
威廉,1
娜娜,1
娣娣,0
娣娣祝,0
孔蒂,0
孟塔,0
孟晚舟,1
孫,0
孫于珊,1
孫岳澤,0
孫志強,1
孫怡,1
孫正義,1
孫正華,1
孫紅超,1
孫繼正,1
孫芸芸,1
安力,0
安永,1
宋,0
宋楚瑜,1
宋芷妍,1
完永毅,1
宏捷科,1
官,0
宜院春家司群,0
容海恩,1
小燕姐,0
小玲,0
小芬,0
尤惠民,1
尹垣程,1
尹崇堯,1
尹衍樑,1
尹錫悅,1
尼克森,0
尼瑪,0
岑敖暉,1
峰,0
峰),1
崔明禮,1
崔維．麥考伊,0
川普,0
川普卡,0
川普推特,0
川普揚,0
川普（Donald J. Trump,1
左自生,1
巴菲特,0
布紫晴,1
布魯諾（Bruno Mars,0
希拉克,1
希拉蕊,1
希波克拉底斯,1
希特勒,0
干諾道西,0
幸運星,0
庫德洛 ,0
庫爾特·沃爾克,0
康明璋,1
康生,0
廖,0
廖仲愷,1
廖勝利,1
廖哲宏,1
廖天駿,1
廖宜鵬,1
廖承志,1
廖會,0
廖東雄,1
廖男,0
廖紫婷,1
廖英熙,1
廖頌賢,1
張,0
張不滿,1
張亞瑋,1
張俊彥,1
張俊逸,1
張偉諒,1
張再持,1
張勝原,1
張博凱,1
張君豪,1
張吞,0
張哲維,1
張善政,1
張嘉祥,1
張堯勇,1
張女,0
張子巡,1
張安平,1
張家人,0
張寫,0
張庭,1
張庭與,1
張建宗,1
張建華,1
張徒手,0
張志堅,1
張志平,1
張才,1
張文川,1
張書豪,1
張月誇,1
張桂銘,1
張榮味,1
張治忠,1
張浩維,1
張浩輝,1
張淑慧,1
張潔平,1
張玉泉,1
張瑞星,1
張男,0
張綱維,1
張興蕙,1
張菱育,1
張誌仁,1
張軒哲,1
張道銘,1
張雯曦,1
張順成,1
張鳳中,1
張麗善,1
強世功,1
強森,0
彭,0
彭世杰,1
彭博巴克萊,0
彭博巴克萊 ,0
彭市,0
彭應聲,1
彭振源,1
彭男,0
彭雨彤,1
彼得．威廉森,0
徐,0
徐信平,1
徐均,0
徐昌錦,1
徐曉華,1
徐聖倫,1
徐若瑄,1
徐話不,0
徐超,0
徐霄菀,1
德拉吉,0
怡方,0
惟一芳,0
愛妮妮,1
愛山林,1
愛德華．波克,0
愛胥福特,0
成允模,1
戚薇,1
戴正吳,0
戴爾,0
戴立忍,1
戴若涵,1
房立勳,0
托馬斯·庫克,0
扮建商,0
投院明,0
拉加德,0
拉瑪九世蒲美蓬,0
拜登,0
振強,1
推特發文,0
提姆,0
故田總,0
敖卓軒,1
文哥,0
文在寅,1
文家英,1
文旻,0
文淇,0
斯馬克爾,0
新院平家軒,0
方仰寧,1
方俐婷,1
方信雄,1
方文政,1
方星海,1
方榮熙,1
於鄭,0
施志傑,1
施瓊華,1
施逸翔,1
旺，,0
昇楷,0
易綱,0
景虎士,0
晶焱,1
智伸科,1
曉萍,1
曲兆祥,1
曹,0
曹佑寧,1
曹元鐘,0
曹國,0
曹志潭,1
曹賜正,0
曾,0
曾國財,1
曾梓洋,1
曾瑋中,1
曾盛麟,1
曾蔭權,1
曾薰儀,1
朱,0
朱利安尼,1
朱利安尼去,1
朱女,0
朱女手,0
朱小蓉,1
朱成志,1
朱柏齡,1
朱武隆,1
朱浩民,1
朱浩賢,1
朱潤逢,1
朱立倫,1
朱野,0
朱野歸子,1
李,0
李丙初,1
李亞鵬,1
李佰全,1
李佳峰,1
李俊忠,1
李兆基,1
李冠志,1
李卓人,1
李名車,0
李員,0
李喬芸,1
李嘉欣,1
李太,0
李孟謙,1
李宗泫,1
李宗瑞,1
李家超,1
李小龍,1
李屏賓,1
李彥宏,1
李彩蓮,1
李徒刑,1
李德財,1
李志鴻,1
李承翰,1
李敏,1
李敖,0
李方正,1
李日順,1
李明哲,1
李春生,1
李榮華,1
李樹樺,1
李樹欉,1
李欣潔,1
李毓芬,1
李波,1
李洪元,1
李清發,1
李玟嬅,1
李男,0
李福恩,1
李秉錡,1
李謀陽,0
李開復,1
李魚 ,0
李麗芬,1
李麗華,1
杜妍,1
杜姸,0
杜英宗,1
杭特,0
東山結衣,0
東隆興,1
林,0
林一夫,1
林之晨,1
林佳穎,1
林佳龍,1
林俊峰,1
林信宏,1
林冠霖,1
林圀宏,1
林國聖,1
林女。,0
林姿菁,1
林幸蓉,1
林建涵,1
林德輝,1
林志憲,1
林志玲,1
林志鴻,1
林憲銘,1
林政賢,1
林文淵,1
林昌育,1
林明裕,1
林映陸,1
林杰志,1
林柏宏,1
林榮基,1
林樂兒,1
林正盛,1
林沛君,1
林海峰,1
林淑惠,1
林清暉,1
林湘芸,1
林煜騰,1
林瑞陽,1
林男,0
林男才,1
林皓正,1
林秀玟,1
林紹波,1
林綠紅,1
林維俊,1
林至逸,1
林芸,1
林若勤,1
林裕傑,1
林詩芳,1
林輝宏,1
林輝煌,1
林適中,1
林鄭,0
林鄭月娥,1
林鄭開,1
林金源,1
林金龍,1
林陀桂英,1
林陳勝,1
林靜儀,1
林鳳英,1
柏文,0
柏瑞,0
柯,0
柯P,0
柯媽,0
柯富仁,1
柯志龍,1
柯文哲,1
柯氏,0
柯震東,1
格蘭特·沙普斯,0
桂敏海,1
桑娜．德賽,1
桑柏格,0
梁國雄,1
梁定邦,1
梁志鵬,1
梁振英,1
梁敏婷,1
梁煥敏,1
梁男,0
梁頌恩,1
梁鴻烈,1
梁鵬威,1
梅努欽,0
梅根,0
梅根馬克爾,0
楊,0
楊位醒,0
楊佳賢,1
楊傳廣,1
楊光磊,1
楊則吞,0
楊和卓,1
楊國文,1
楊均未,0
楊子磊,1
楊德昌,1
楊捲款,0
楊政綱,1
楊政郡,1
楊敬熙,1
楊文科,1
楊明綺,1
楊柱祥,1
楊森,1
楊治渝,1
楊潤雄,1
楊潮海,1
楊男,0
楊秀蓉,1
楊穎,1
楊絮雲,1
楊自立,1
楊調派,0
楊超斌,1
楚女,0
楚瑞芳,1
樹木組,1
樺漢,0
欒家瑞,1
欽泰,0
歐嘉樂,1
歐陽妮妮,1
歐陽娜娜,1
歐陽娣娣,0
歐陽龍,1
武傑,1
殷倜凡,1
毛嘉慶,1
毛澤東,1
江士田,1
江宜樺,1
江巧智,1
江芳韻,1
汪,0
汪志冰,1
汪惠南,1
汪用和,1
汪英達,1
沃爾克,0
沈君融,1
沈婉玉,1
沈榮津,1
沈瑜,1
沈繼昌,1
沈美吟,1
沈萬鈞,1
沙姆拉尼,0
波洛西,0
波羅申科,1
泰博,0
泰山詹,0
泰王,1
洛爾斯,0
洪,0
洪下朱,0
洪偉淦,1
洪子雲,1
洪楠基,1
洪母,0
洪玲玲,1
洪秋金,1
洪聰滿,1
洪進揚,1
洪鏗評,1
洪靖宜,1
涂謹申,0
深海晶,1
港,0
游,0
游乃強,1
游承儒,1
游芳男,1
湯佳,0
湯瑪斯馬克爾,0
湯興漢,1
湯豪,0
溫于德,1
溫梓霖,1
溫秋英,1
潘,0
潘供述,0
潘姵雯,1
潘男持,0
澤倫斯基,0
澤友作,0
澤連斯基,0
澳周,0
瀧澤科,0
烏薩里斯,0
燦坤,0
牛松,0
特朗普,0
特梅爾,0
狄昂．華薇克,0
王,0
王世明,1
王中磊,1
王亦允,1
王以凡,1
王健民,1
王光遠,1
王卓釣,1
王南征,1
王厚偉,1
王哲夫,1
王嘉樞,1
王因,0
王姿琳,1
王婉瑜,1
王婉諭,1
王安石,1
王安莉,1
王宣晴,1
王思婷,1
王文,1
王文也,1
王明 ,1
王晶,1
王沛詩,1
王泰昌,1
王淡如,1
王淺秋,1
王源,1
王澤生,1
王瑞宏,1
王男,0
王益洲,1
王瞳,1
王瞳勤,1
王紀棠,1
王維明,1
王菲,1
王菲高調,1
王薏絜,1
王進安,1
王金平,1
王金龍,1
王隆昌,1
王龍,0
玲,0
珍菌堂,0
瑋甯,1
瑜,0
瑜平日,0
瑟萊斯,0
瑪斯馬克爾,0
璩美鳳,1
環球晶,1
瓊瑤,1
瓜田李下,0
瓦士威士忌,0
甄凱盈,1
田,0
田亞霍,1
畢鈞輝,1
白富美,0
白金蕾,0
百略,0
盧,0
盧俊宇,1
盧偉聰,1
盧宏東,1
盧家培,1
盧比歐,0
盧郁佳,1
眾志,0
石貞善,1
磐儀,0
神隱,0
福永報恩,1
科創板,1
科大生,0
秦,0
秦秀清,1
程世維,1
程淑雯,1
程耀輝,1
穆罕默德．沙爾曼,1
竇唯,1
竇唯和,1
竇靖童,1
童珮甄,1
竹鶴威,1
竹鶴政孝,1
管中閔,1
米切爾,0
米奇,0
米娜,1
米娜周二,1
米雪,1
紀安郎,0
紀政,0
約翰梅爾,0
約翰遜,1
約翰．柯利,0
約翰．皮爾森,0
納布亞,0
索羅斯,0
索羅門,0
結衣,0
綠悅,0
綦美合,1
維洛妮卡菲爾斯,0
綺陽,0
繆嫌,0
繆竹怡,1
羅,0
羅君豪,1
羅國輝,1
羅弟儉,0
羅德泉,1
羅德里格斯,0
羅文嘉,1
羅斯 (Wilbur Ross,1
羅斯福,0
羅昇,0
羅男,0
羅秋英,1
羅賓遜,0
美燦,0
群暉,0
翁家明,1
翁朝棟,1
習近平,1
耿爽,0
聰哥,0
聶德權,1
胡嘉俊,1
胡定華,1
胡懷中,1
胡樂筠,1
舒默,0
艾倫,0
艾倫島,1
艾倫．史瓦茲,1
艾成,0
艾比娜,1
艾爾金斯,0
艾金森,0
苓雅,0
若廖,0
范俊逸,1
范振鴻,1
范鋼全,1
范錫,0
莊國南,1
莊庭瑞,1
莊文沂,1
莊自立,1
莊鎔璞,1
莫海迪．柯弗,1
華倫,0
華固,0
華春瑩,1
萊特,0
萊特希澤,0
葉,0
葉冠廷,1
葉明水,1
葉玲,1
葉男,0
葉良超,1
葉蔭聰,1
葉麗如,1
葛珮帆,1
葛萊徹,0
董建華,1
董成康,1
董璇,0
蒂妲史雲頓,0
蒲念慈,1
蓬佩奧,0
蔡,0
蔡一郎,0
蔡佳麟,1
蔡依玲,1
蔡凱文,1
蔡國新,1
蔡宜芳,1
蔡崇義,1
蔡崇隆,1
蔡彰盛,1
蔡文勝,1
蔡文旭,1
蔡明亮,1
蔡玄生,1
蔡男,0
蔡碧玉,1
蔡練生,1
蔡英俊,1
蔡英文,1
蔡詠裕,1
蔡賜爵,1
蔡適應,1
蔡雅瀅,1
蔣介石,0
蔣宋美齡,1
蔣竣植,1
蔣經國,1
蔣萬安,1
蔣靖雯,1
蕫繆竹怡,1
蕭亞軒,1
蕭惠中,1
蕭煌奇,1
蕭薔傳,0
薩塞克斯,0
薩迪克·汗,0
藍尚立,1
藤原宏美,1
蘇,0
蘇宥蓉,1
蘇巧慧,1
蘇湘涵,1
蘇芸,1
蘇衍榮,1
蘇貞昌,1
蘭桂芳,1
處女座高以翔,0
袁,0
袁欣鈴,1
裴振福,1
襄理,0
西蒙·考爾德,0
許,0
許又仁,1
許家榮,1
許家禎,1
許旭輝,1
許晉亨,1
許玉秀,1
許瑋甯,1
許盛信,1
許銘春,1
詹信夫,0
詹姆斯 · 西蒙斯 ,0
詹宏志,1
詹庭禎,1
詹舜淇,1
詹逸宏,1
詹雅琳,1
詹雯婷,1
謝,0
謝中凡,1
謝佳伶,1
謝和弦,1
謝奉印,1
謝安達,1
謝宗霖,1
謝巧莉,1
謝文明,1
謝春梅,1
謝春梅總大方,1
謝芝朕,1
謝雅玲,1
謝霆鋒,1
謝靜慧,1
謝韻婷,1
譚志輝,1
譚文豪,1
譚耀宗,1
谷立言,1
豪仔,0
賀以禮,1
賀信融,0
賀德,0
賀錫耀,1
賈弘毅,1
賈文中,0
賈靜雯,1
賤岳,0
賤岳傳,0
賴,0
賴嚮景,1
賴慧,1
賴昇楷,1
賴正鎰,1
賴男,0
賴香伶,1
賽門．休斯特,0
赫拉爾·米亞,1
趙,0
軒一,0
輝家俊,1
辛普森,0
速龍,0
連竹科,1
週一 ,0
道克明,1
達頓,0
遲煥國,1
邦特,0
邱,0
邱中岳,1
邱伊翎,1
邱俊福,1
邱吉爾,0
邱嘉進,1
邱德智,1
邱銘恩,1
邱騰華,1
邵駿崴,1
郁,0
郭,0
郭倍廷,1
郭冠纓,1
郭台銘,0
郭小杰,1
郭平,0
郭德勝,0
郭憲誌,1
郭承翔,1
郭玉鈴,1
郭王,0
郭男,0
郭男平,1
郭萍英,1
郭董,0
郭董光,1
郭董大,0
郭蓓娟,1
郭辦,0
郭采潔,1
郭靜純,1
郭頌賢,1
鄒子廉,1
鄧,0
鄧健榮,1
鄧家琪,1
鄧小平,0
鄧炳強,1
鄧玉瑩,1
鄧男,0
鄧超鴻,1
鄭,0
鄭京心,1
鄭俊英,1
鄭名翔,1
鄭女,0
鄭子峰,1
鄭容和,1
鄭弘儀,1
鄭徒刑,1
鄭承隆,1
鄭月娥,1
鄭永洙,1
鄭浩劍,1
鄭玉山,1
鄭男,0
鄭翠碧,1
鄭銘富,1
金寶軒,1
金水,0
金炫秀,1
鈺太,0
銀鑫,0
錢利忠,1
錢靜怡,1
鍾,0
鍾增林,1
鍾榮昌,1
鍾騏,0
鐘山,0
鐘敏瑜,1
鐘明通,1
長榮海,1
閎康,0
關公,1
阮國非,1
阿信,0
阿契,0
阿比查邦,0
阿水,0
阿諾德．德梅爾,0
阿雅,0
陳,0
陳XX,0
陳世恒,1
陳亮君,1
陳令軒,1
陳以文,1
陳俊宏,1
陳俊松,1
陳俊雄,1
陳偉林,1
陳兆麟,1
陳其邁,1
陳凱歌,1
陳勝,1
陳同佳,1
陳和昌,1
陳哲宇,1
陳國榮,1
陳天民,1
陳孟統,1
陳守仁,1
陳宏昇,1
陳宗彥,1
陳宣銘,1
陳帆,0
陳帆今,1
陳師孟,1
陳建三,1
陳建飛,1
陳彥名,1
陳志明,1
陳志豪,1
陳怡婷,1
陳慰慈,1
陳成妹,1
陳指,0
陳揆驩,1
陳文弘,1
陳斯婷,1
陳斯婷批戰袍,1
陳明原,1
陳昭文,1
陳晞倫,1
陳業鑫,1
陳武傑,1
陳水扁,1
陳永安,1
陳永琪,1
陳漢龍,1
陳潤秋,1
陳澤峰,1
陳男,0
陳男中,1
陳男滿,1
陳皓桓,1
陳盈豪,1
陳秘順,1
陳紅,0
陳紅一,1
陳綺貞,1
陳英嬌,1
陳茂波,1
陳茂霖,1
陳菊,1
陳詐欺,0
陳豐德,1
陳質采,1
陳連春,1
陳逸文,1
陳郁雁,1
陳長義,1
陳雕文,1
陳雨露,1
陳靜,1
陳韋霖,1
陳飛宇,1
陸文傑,1
陽娜娜,1
雍智,1
雍智科,1
雲從龍,1
雷克斯·蒂勒森,1
雷艷貞,1
雷軍,1
震東,0
霍建華,1
青年科,0
韋建宗,1
韓,0
韓國瑜,1
韓春樹,1
韓特,0
韓特．拜登,0
韓相範,1
顏,0
顏則獲,1
顏良翰,1
顏藝林,1
顏雪藝,1
顧立雄,1
饒守敏,1
饒雪,0
馬俊麟,1
馬傑偉,1
馬克思,1
馬克里,0
馬利歐,0
馬化騰,0
馬奎爾,0
馬英九,0
馬雲,0
馮君安,1
馮文宏,1
騏遠,0
高,0
高以翔,1
高仲明,1
高女,0
高振殷,1
高振邦,1
高涌誠,1
高男,0
高雲翔,1
魏,0
魏丞慶,0
魏啟林,1
魏喬怡,1
魏斯勒,0
魏江霖,1
魯伊茲,0
魯德海,0
魯比奧,0
魯比歐,0
魯迪·朱利安尼,0
鮑威爾,0
鮑爾,0
鮑爾 ,0
鮑里斯·約翰遜,0
鴻海,0
鴻海人,0
鴻翊,0
麥凱茵,1
麥康奈爾,1
麥衛文,1
黃,0
黃之鋒,1
黃偉哲,1
黃偉綸,1
黃健,1
黃光熙,1
黃嘉榮,1
黃國昌,1
黃士修,1
黃女,0
黃子愛,1
黃子欽,1
黃建強,1
黃建忠,1
黃志明,1
黃振宏,1
黃振龍,1
黃捷,0
黃文修,1
黃文清,1
黃文財,1
黃昱中,1
黃曉明,1
黃正聰,1
黃歲,0
黃秋蓮,1
黃紅霞,1
黃繼兒,1
黃翊婷,1
黃虹霞,1
黃鈺蘋,1
鼎炫,1
齊秦,0
龍,0
龍男,0
，周,0
，宸鴻,0
，川普,0
，萊特,0
